# Tamil word<TAB>English meaning
அச்சரப்பாக்கம்	Acharapakkam
கோட்டக்குப்பம்	Kottakuppam
கோட்டூர்	Kottur
கோவிலம்பாக்கம்	Kovilambakkam
கோவில்பட்டி	Kovilpatti
கிருஷ்ணகிரி	Krishnagiri
குலசேகரப்பட்டினம்	Kulasekarapatnam
குளித்தலை	Kulithalai
குமாரபாளையம்	Kumarapalayam
கும்பகோணம்	Kumbakonam
குன்றத்தூர்	Kundrathur
குந்தா	Kundah
குன்னூர்	Coonoor
குந்தராக்கோட்டை	Kundharakottai
லல்குடி	Lalgudi
மடிப்பாக்கம்	Madipakkam
மதுரை	Madurai
மதுராந்தகம்	Madhuranthagam
மகாராஜபுரம்	Maharajapuram
மகாபலிபுரம்	Mahabalipuram
மாம்பாறை    Mambarai
மணவாசி	Manavasi
மணப்பாறை	Manapparai
மணவளக்குறிச்சி	Manavalakurichi
மன்னார்குடி	Mannargudi
மருதூர்	Marudur
மாயவரம்	Mayiladuthurai
மேட்டுப்பாளையம்	Mettupalayam
மேட்டூர்	Mettur
மிஞ்சூர்	Minjur
முசிறி	Musiri
நாமகிரிப்பேட்டை	Namagiripettai
நாமக்கல்	Namakkal
நங்குநேரி	Nanguneri
நன்னிலம்	Nannilam
நசரத்பேட்டை	Nazarethpettai
நாசரேத்	Nazareth
நெல்லிக்குப்பம்	Nellikuppam
நெல்லிச்சேரி	Nellicherry
நெரூர்	Nerur
நெய்வேலி	Neyveli
நிலக்கோட்டை	Nilakottai
ஒட்டன்சத்திரம்	Oddanchatram
ஓமலூர்	Omalur
ஊட்டி	Ooty
பத்மநாபபுரம்	Padmanabhapuram
பழநி	Palani
பழையசீவரம்	Palayaseevaram
பள்ளபட்டி	Pallapatti
பல்லாவரம்	Pallavaram
பள்ளிப்பாளையம்	Pallipalayam
பாபநாசம்	Papanasam
பரமக்குடி	Paramakudi
பரங்கிப்பேட்டை	Parangipettai
பட்டுக்கோட்டை	Pattukottai
பென்னாகரம்	Pennagaram
பெரம்பலூர்	Perambalur
பெரம்பூர்	Perambur
பேராவூரணி	Peravurani
பெரியகுளம்	Periyakulam
பெரியநெகமம்	Periyanegam
பெரணம்பட்டு	Pernambut
பெருந்துறை	Perundurai
பேரூர்பாக்கம்	Perur
போளூர்	Polur
பொள்ளாச்சி	Pollachi
பொன்னேரி	Ponneri
பூவிருந்தவல்லி	Poonamallee
போரூர்	Porur
புதுக்கோட்டை	Pudukkottai
புஞ்சைபுளியம்பட்டி	Punjai Puliampatti
இராதாபுரம்	Radhapuram
இராஜபாளையம்	Rajapalayam
இராமநாதபுரம்	Ramanathapuram
இராமேஸ்வரம்	Rameswaram
இராணிப்பேட்டை	Ranipet
இராசிபுரம்	Rasipuram
இராயக்கோட்டை	Rayakottai
உதிரமேரூர்	Utteramerur
சைதாப்பேட்டை	Saidapet
சேலம்	Salem
சாலிகிராமம்	Saligramam
சங்ககிரி	Sankagiri
சங்கரன்கோவில்	Sankarankovil
சரவணம்பட்டி	Saravanampatti
சாத்தான்குளம்	Sathankulam
சத்தியமங்கலம்	Sathyamangalam
சாத்தூர்	Sattur
சாயல்குடி	Sayalgudi
செம்பனார்கோவில்	Sembanarkoil
செட்டிபாளையம்	Chettipalayam
சீர்காழி	Sirkazhi
சிவகங்கை	Sivaganga
சிவகாசி	Sivakasi
சோழவந்தான்	Sholavandan
சோளிங்கர்	Sholinghur
ஸ்ரீபெரும்புதூர்	Sriperumbudur
ஸ்ரீரங்கம்	Srirangam
ஸ்ரீவைகுண்டம்	Srivaikuntam
ஸ்ரீவில்லிபுத்தூர்	Srivilliputhur
சுசீந்திரம்	Suchindram
சூலூர்	Sulur
சுரண்டை	Surandai
தாம்பரம்	Tambaram
தஞ்சாவூர்	Thanjavur
தரங்கம்பாடி	Tranquebar
தாரமங்கலம்	Tharamangalam
தட்டாரப்பட்டி	Thattarapatti
தேனி	Theni
தென்காசி	Tenkasi
தேரழுந்தூர்	Therazhundur
திண்டிவனம்	Tindivanam
திருச்செந்தூர்	Tiruchendur
திருச்செங்கோடு	Tiruchengode
திருச்சிராப்பள்ளி	Tiruchirappalli
திருக்கழுக்குன்றம்	Tirukalukundram
திருக்கோவிலூர்	Tirukoilur
திருநெல்வேலி	Tirunelveli
திருப்பூர்	Tiruppur
திருப்பத்தூர்	Tirupathur
திருப்புவனம்	Thirupuvanam
திருவள்ளூர்	Tiruvallur
திருவண்ணாமலை	Tiruvannamalai
திருவாரூர்	Tiruvarur
திருச்செந்தூர்	Tiruchendur
திருத்தணி	Tiruttani
திருத்துறைப்பூண்டி	Thiruthuraipoondi
திருவெறும்பூர்	Thiruverumbur
போடிநாயக்கனூர்	Bodinayakanur
தூத்துக்குடி	Thoothukudi
தொட்டியம்	Thottiyam
துறையூர்	Thuraiyur
திட்டிக்குடி	Tittakudi
உதகமண்டலம்	Udhagamandalam
உடுமலைப்பேட்டை	Udumalaipettai
உளுந்தூர்ப்பேட்டை	Ulundurpet
உப்பிலியாபுரம்	Uppiliapuram
உசிலம்பட்டி	Usilampatti
உத்தமபாளையம்	Uthamapalayam
உத்திரமேரூர்	Uthiramerur
ஊத்தங்கரை	Uthangarai
வடமதுரை	Vadamadurai
வடலூர்	Vadalur
வடவள்ளி	Vadavalli
வடுகப்பட்டி	Vadugapatti
வாலடி	Valadi
வலங்கைமான்	Valangaiman
வளவனுார்	Valavanur
வாலாஜாபாத்	Walajabad
வாலாஜாபேட்டை	Walajapet
வள்ளியூர்	Valliyoor
வண்டலூர்	Vandalur
வந்தவாசி	Vandavasi
வாணியம்பாடி	Vaniyambadi
வனவாசி	Vanavasi
வசந்தபுரம்	Vasanthapuram
வத்தலகுண்டு	Batlagundu
வேதாரண்யம்	Vedaranyam
வேலூர்	Vellore
வேளச்சேரி	Velachery
வெம்பாக்கம்	Vembakkam
வேப்பந்தட்டை	Veppanthattai
வேடசந்தூர்	Vedasandur
வேட்டவலம்	Vettavalam
விஜயமங்கலம்	Vijayamangalam
விக்ரவாண்டி	Vikravandi
வில்லிவாக்கம்	Villivakkam
விழுப்புரம்	Viluppuram
விராலிமலை	Viralimalai
விருதாச்சலம்	Virudhachalam
விருதுநகர்	Virudhunagar
வியாசர்பாடி	Vyasarpadi
வாலாஜாபேட்டை	Walajapet
வாணியம்பாடி	Vaniyambadi
எடப்பாடி	Edappadi
ஏழாயிரம்பண்ணை	Elayirampannai
ஏரல்	Eral
எருமைப்பட்டி	Erumaipatti
ஏத்தாப்பூர்	Ettapur
எட்டயபுரம்	Ettayapuram
